sha256,canonical_abs_path,canonical_rel_path,filename,ext,size_bytes,width,height,root_key,subject,subject_detail,source_platform,source_collection,source_creator,source_confidence,content_kind,duplicate_count,suggested_title,suggested_image_code,db_ready,bucket,bucket_reason
5b8496bc424f4be991fcced1332cc990447ab2ecff8f901e2b65723347808225,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\352919502.jpg,historical\ssm\352919502.jpg,352919502.jpg,.jpg,56436,669,600,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-5B8496BC424F,yes,needs_review,historical_compilation
d9a667b943b5bde895f34066d06a44b8d96a452dc6a2c4d7a236b8d1db047edb,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\352919505.jpg,historical\ssm\352919505.jpg,352919505.jpg,.jpg,45794,848,600,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-D9A667B943B5,yes,needs_review,historical_compilation
abf1bc67faa29f69cbc96766928e482f8e1f6dcd344f79fd1714fe4d09bfccbb,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Warford\361595_xl.jpg,historical\Warford\361595_xl.jpg,361595_xl.jpg,.jpg,1113499,1800,1277,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-ABF1BC67FAA2,yes,needs_review,historical_compilation
b5e92846a7af0b2e8a9c26aac47a73c4dc3d60649403b4675ab63ce4b519b899,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Warford\361596_xl.jpg,historical\Warford\361596_xl.jpg,361596_xl.jpg,.jpg,1198071,1800,1526,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-B5E92846A7AF,yes,needs_review,historical_compilation
f761f8f8e383aeca140f2e3d110c32546c7b81c17426fba9398433130fd0a6d0,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Warford\361597_xl.jpg,historical\Warford\361597_xl.jpg,361597_xl.jpg,.jpg,905053,1800,1652,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-F761F8F8E383,yes,needs_review,historical_compilation
4179aba6c6b75f0bd7529352b61a0b1b0f591051a75dd7d5dce9d6c49359ac4a,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Warford\361598_xl.jpg,historical\Warford\361598_xl.jpg,361598_xl.jpg,.jpg,1700678,1537,1800,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-4179ABA6C6B7,yes,needs_review,historical_compilation
c651b4246bb039f63e6e441014a0e46124f7edcec652e56d07f086f8ce947940,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Warford\361599_xl.jpg,historical\Warford\361599_xl.jpg,361599_xl.jpg,.jpg,1389623,1505,1800,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-C651B4246BB0,yes,needs_review,historical_compilation
34e90dbe06b8ae40a3a57ba8364d71c676c80fb1b93e186d7fb38e75c846228e,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361600_xl.jpg,historical\Edlund\361600_xl.jpg,361600_xl.jpg,.jpg,1341090,1800,1448,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-34E90DBE06B8,yes,needs_review,historical_compilation
b0cb991e0335f0634f5faead9be3f4f650c8e43a91eb52728666c7922678de72,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361611_xl.jpg,historical\Edlund\361611_xl.jpg,361611_xl.jpg,.jpg,2237532,1625,1800,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-B0CB991E0335,yes,needs_review,historical_compilation
94167956c353c655cc5bdf6c05fd5b9d967fc7561f1b88b2be1d60e151929fde,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361612_xl.jpg,historical\Edlund\361612_xl.jpg,361612_xl.jpg,.jpg,768395,1800,1108,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-94167956C353,yes,needs_review,historical_compilation
