group_key,parsed_brand,parsed_scale,parsed_subject,file_count,views,confidence,best_kit_id,best_brand,best_scale,best_name,best_score,match_reasons,candidate_2,candidate_3,alternate_any_scale,notes,files
AMT_1-25_32-Ford-Phaeton,AMT,1/25,32 Ford Phaeton,5,back; front; left; right; top,high,205,AMT,1/25,32 Ford Phaeton,112.0,brand; scale; 3 token overlap; name ratio,"204: AMT 1/25 32 Ford Five-Window Coupe (74.67; brand, scale, 2 token overlap)","206: AMT 1/25 34 Ford Pickup (70.84; brand, scale, 1 token overlap)",,,AMT_1-25_32-Ford-Phaeton_back.png; AMT_1-25_32-Ford-Phaeton_front.png; AMT_1-25_32-Ford-Phaeton_left.png; AMT_1-25_32-Ford-Phaeton_right.png; AMT_1-25_32-Ford-Phaeton_top.png
AMT_1-25_34-Ford-Pickup,AMT,1/25,34 Ford Pickup,5,back; front; left; right; top,high,206,AMT,1/25,34 Ford Pickup,112.0,brand; scale; 3 token overlap; name ratio,"234: AMT 1/25 New Ford Pickup (88.86; brand, scale, 2 token overlap, name ratio)","208: AMT 1/25 53 Ford Pickup Street Rods (78.27; brand, scale, 2 token overlap)",,,AMT_1-25_34-Ford-Pickup_back.png; AMT_1-25_34-Ford-Pickup_front.png; AMT_1-25_34-Ford-Pickup_left.png; AMT_1-25_34-Ford-Pickup_right.png; AMT_1-25_34-Ford-Pickup_top.png
AMT_1-25_53-Ford-Pickup-Stree,AMT,1/25,53 Ford Pickup Stree,5,back; front; left; right; top,high,208,AMT,1/25,53 Ford Pickup Street Rods,89.87,brand; scale; 3 token overlap; name ratio,"206: AMT 1/25 34 Ford Pickup (83.55; brand, scale, 2 token overlap, name ratio)","234: AMT 1/25 New Ford Pickup (81.66; brand, scale, 2 token overlap)",,,AMT_1-25_53-Ford-Pickup-Stree_back.png; AMT_1-25_53-Ford-Pickup-Stree_front.png; AMT_1-25_53-Ford-Pickup-Stree_left.png; AMT_1-25_53-Ford-Pickup-Stree_right.png; AMT_1-25_53-Ford-Pickup-Stree_top.png
AMT_1-25_55-Chevy-Nomad,AMT,1/25,55 Chevy Nomad,5,back; front; left; right; top,high,209,AMT,1/25,55 Chevy Nomad,112.0,brand; scale; 3 token overlap; name ratio,"203: AMT 1/25 1958 Chevy Impala (73.08; brand, scale, 1 token overlap)","210: AMT 1/25 59 Chevy El Camino (71.33; brand, scale, 1 token overlap)",,,AMT_1-25_55-Chevy-Nomad_back.png; AMT_1-25_55-Chevy-Nomad_front.png; AMT_1-25_55-Chevy-Nomad_left.png; AMT_1-25_55-Chevy-Nomad_right.png; AMT_1-25_55-Chevy-Nomad_top.png
AMT_1-25_57-Chevy-Bel-Air-Har,AMT,1/25,57 Chevy Bel Air Har,5,back; front; left; right; top,high,27,AMT,1/25,57 Chevy Bel Air Hardtop,97.15,brand; scale; 4 token overlap; name ratio,"210: AMT 1/25 59 Chevy El Camino (71.17; brand, scale, 1 token overlap)","203: AMT 1/25 1958 Chevy Impala (68.4; brand, scale, 1 token overlap)",,,AMT_1-25_57-Chevy-Bel-Air-Har_back.png; AMT_1-25_57-Chevy-Bel-Air-Har_front.png; AMT_1-25_57-Chevy-Bel-Air-Har_left.png; AMT_1-25_57-Chevy-Bel-Air-Har_right.png; AMT_1-25_57-Chevy-Bel-Air-Har_top.png
AMT_1-25_57-Chevy-Bel-Air-Har_2,AMT,1/25,57 Chevy Bel Air Har,5,back; front; left; right; top,high,27,AMT,1/25,57 Chevy Bel Air Hardtop,97.15,brand; scale; 4 token overlap; name ratio,"210: AMT 1/25 59 Chevy El Camino (71.17; brand, scale, 1 token overlap)","203: AMT 1/25 1958 Chevy Impala (68.4; brand, scale, 1 token overlap)",,,AMT_1-25_57-Chevy-Bel-Air-Har_2_back.png; AMT_1-25_57-Chevy-Bel-Air-Har_2_front.png; AMT_1-25_57-Chevy-Bel-Air-Har_2_left.png; AMT_1-25_57-Chevy-Bel-Air-Har_2_right.png; AMT_1-25_57-Chevy-Bel-Air-Har_2_top.png
AMT_1-25_57-Chevy-Bel-Air-Har_3,AMT,1/25,57 Chevy Bel Air Har,5,back; front; left; right; top,high,27,AMT,1/25,57 Chevy Bel Air Hardtop,97.15,brand; scale; 4 token overlap; name ratio,"210: AMT 1/25 59 Chevy El Camino (71.17; brand, scale, 1 token overlap)","203: AMT 1/25 1958 Chevy Impala (68.4; brand, scale, 1 token overlap)",,,AMT_1-25_57-Chevy-Bel-Air-Har_3_back.png; AMT_1-25_57-Chevy-Bel-Air-Har_3_front.png; AMT_1-25_57-Chevy-Bel-Air-Har_3_left.png; AMT_1-25_57-Chevy-Bel-Air-Har_3_right.png; AMT_1-25_57-Chevy-Bel-Air-Har_3_top.png
AMT_1-25_57-Chevy-Bel-Air-Har_4,AMT,1/25,57 Chevy Bel Air Har,5,back; front; left; right; top,high,27,AMT,1/25,57 Chevy Bel Air Hardtop,97.15,brand; scale; 4 token overlap; name ratio,"210: AMT 1/25 59 Chevy El Camino (71.17; brand, scale, 1 token overlap)","203: AMT 1/25 1958 Chevy Impala (68.4; brand, scale, 1 token overlap)",,,AMT_1-25_57-Chevy-Bel-Air-Har_4_back.png; AMT_1-25_57-Chevy-Bel-Air-Har_4_front.png; AMT_1-25_57-Chevy-Bel-Air-Har_4_left.png; AMT_1-25_57-Chevy-Bel-Air-Har_4_right.png; AMT_1-25_57-Chevy-Bel-Air-Har_4_top.png
AMT_1-25_57-Chevy-Bel-Air-Har_5,AMT,1/25,57 Chevy Bel Air Har,5,back; front; left; right; top,high,27,AMT,1/25,57 Chevy Bel Air Hardtop,97.15,brand; scale; 4 token overlap; name ratio,"210: AMT 1/25 59 Chevy El Camino (71.17; brand, scale, 1 token overlap)","203: AMT 1/25 1958 Chevy Impala (68.4; brand, scale, 1 token overlap)",,,AMT_1-25_57-Chevy-Bel-Air-Har_5_back.png; AMT_1-25_57-Chevy-Bel-Air-Har_5_front.png; AMT_1-25_57-Chevy-Bel-Air-Har_5_left.png; AMT_1-25_57-Chevy-Bel-Air-Har_5_right.png; AMT_1-25_57-Chevy-Bel-Air-Har_5_top.png
AMT_1-25_59-Chevy-El-Camino,AMT,1/25,59 Chevy El Camino,5,back; front; left; right; top,high,210,AMT,1/25,59 Chevy El Camino,112.0,brand; scale; 4 token overlap; name ratio,"209: AMT 1/25 55 Chevy Nomad (71.33; brand, scale, 1 token overlap)","27: AMT 1/25 57 Chevy Bel Air Hardtop (70.75; brand, scale, 1 token overlap)",,,AMT_1-25_59-Chevy-El-Camino_back.png; AMT_1-25_59-Chevy-El-Camino_front.png; AMT_1-25_59-Chevy-El-Camino_left.png; AMT_1-25_59-Chevy-El-Camino_right.png; AMT_1-25_59-Chevy-El-Camino_top.png
AMT_1-25_63-Corvette-Stingray,AMT,1/25,63 Corvette Stingray,5,back; front; left; right; top,high,211,AMT,1/25,63 Corvette Stingray,112.0,brand; scale; 3 token overlap; name ratio,"220: AMT 1/25 DRAGRAY Corvette Funny Car (68.86; brand, scale, 1 token overlap)","251: AMT 1/25 Corvair Custom (59.88; brand, scale)",,,AMT_1-25_63-Corvette-Stingray_back.png; AMT_1-25_63-Corvette-Stingray_front.png; AMT_1-25_63-Corvette-Stingray_left.png; AMT_1-25_63-Corvette-Stingray_right.png; AMT_1-25_63-Corvette-Stingray_top.png
AMT_1-25_65-Ford-Galaxie-XL,AMT,1/25,65 Ford Galaxie XL,5,back; front; left; right,high,212,AMT,1/25,65 Ford Galaxie XL,112.0,brand; scale; 4 token overlap; name ratio,"205: AMT 1/25 32 Ford Phaeton (67.97; brand, scale, 1 token overlap)","207: AMT 1/25 40 Ford Sedan Delivery (67.43; brand, scale, 1 token overlap)",,view typo: back (1)->back,AMT_1-25_65-Ford-Galaxie-XL_back (1).png; AMT_1-25_65-Ford-Galaxie-XL_back.png; AMT_1-25_65-Ford-Galaxie-XL_front.png; AMT_1-25_65-Ford-Galaxie-XL_left.png; AMT_1-25_65-Ford-Galaxie-XL_right.png
