attachment_filename,attachment_href,local_path,exists,aid,normalized_attachment,match_kind,confidence,map_id,map_name,previous_map_image_id,image_id,image_status,update_status,family_status
Port bottom forward mandible pit copy.jpg,../images/Port bottom forward mandible pit copy_aid_11315.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port bottom forward mandible pit copy_aid_11315.php,True,11315,port bottom forward mandible pit,exact,1.0,17,Port bottom forward mandible pit,519,519,existing,primary-linked,not-needed
mandible pit copy.jpg,../images/mandible pit copy_aid_11314.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\mandible pit copy_aid_11314.php,True,11314,mandible pit,exact,1.0,14,mandible pit,520,520,existing,primary-linked,not-needed
mandible pit bigger copy.jpg,../images/mandible pit bigger copy_aid_11313.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\mandible pit bigger copy_aid_11313.php,True,11313,mandible pit bigger,exact,1.0,15,Mandible pit bigger,521,521,existing,primary-linked,not-needed
Forward Starboard Top Pit copy.jpg,../images/Forward Starboard Top Pit copy_aid_11312.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Forward Starboard Top Pit copy_aid_11312.php,True,11312,forward starboard top pit,exact,1.0,12,Foarward Starboard Top Pit,522,522,existing,primary-linked,not-needed
forward port top pit copy.jpg,../images/forward port top pit copy_aid_11311.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\forward port top pit copy_aid_11311.php,True,11311,forward port top pit,exact,1.0,13,forward port top pit,523,523,existing,primary-linked,not-needed
Falcon port sidewall rear2 copy.jpg,../images/Falcon port sidewall rear2 copy_aid_11310.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Falcon port sidewall rear2 copy_aid_11310.php,True,11310,falcon port sidewall rear2,exact,1.0,10,Falcon port sidewall rear2,524,524,existing,primary-linked,not-needed
falcon port sidewall rear1 copy.jpg,../images/falcon port sidewall rear1 copy_aid_11309.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\falcon port sidewall rear1 copy_aid_11309.php,True,11309,falcon port sidewall rear1,exact,1.0,9,falcon port sidewall rear1,525,525,existing,primary-linked,not-needed
complete radar copy.jpg,../images/complete radar copy_aid_11308.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\complete radar copy_aid_11308.php,True,11308,complete radar,exact,1.0,8,complete radar,478,478,existing,primary-linked,not-needed
cockpit.jpg,../images/cockpit_aid_11307.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\cockpit_aid_11307.php,True,11307,cockpit,exact,1.0,4,cockpit,526,526,existing,primary-linked,not-needed
cockpit tube copy.jpg,../images/cockpit tube copy_aid_11306.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\cockpit tube copy_aid_11306.php,True,11306,cockpit tube,exact,1.0,7,Cockpit Tube,527,527,existing,primary-linked,not-needed
cockpit tailpiece copy.jpg,../images/cockpit tailpiece copy_aid_11305.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\cockpit tailpiece copy_aid_11305.php,True,11305,cockpit tailpiece,exact,1.0,6,cockpit tailpiece,528,528,existing,primary-linked,not-needed
cockpit pie piece copy.jpg,../images/cockpit pie piece copy_aid_11304.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\cockpit pie piece copy_aid_11304.php,True,11304,cockpit pie piece,exact,1.0,5,cockpit pie piece,529,529,existing,primary-linked,not-needed
bottom turett.jpg,../images/bottom turett_aid_11303.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\bottom turett_aid_11303.php,True,11303,bottom turret,exact,1.0,3,bottom turett,530,530,existing,primary-linked,not-needed
bottom center.jpg,../images/bottom center_aid_11302.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\bottom center_aid_11302.php,True,11302,bottom center,exact,1.0,2,bottom center,531,531,existing,primary-linked,not-needed
Top turett copy.jpg,../images/Top turett copy_aid_11358.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Top turett copy_aid_11358.php,True,11358,top turret,exact,1.0,56,Top turett,532,532,existing,primary-linked,not-needed
topcenter copy.jpg,../images/topcenter copy_aid_11359.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\topcenter copy_aid_11359.php,True,11359,topcenter,exact,1.0,57,topcenter,533,533,existing,primary-linked,not-needed
ventral deck copy.jpg,../images/ventral deck copy_aid_11360.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\ventral deck copy_aid_11360.php,True,11360,ventral deck,exact,1.0,58,ventral deck,534,534,existing,primary-linked,not-needed
ventral rear close copy.jpg,../images/ventral rear close copy_aid_11361.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\ventral rear close copy_aid_11361.php,True,11361,ventral rear close,collapsed-ventral-rear,0.9,59,ventral rear numbers / close,535,535,existing,primary-linked,not-needed
ventral rear copy.jpg,../images/ventral rear copy_aid_11362.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\ventral rear copy_aid_11362.php,True,11362,ventral rear,near-duplicate-ventral-rear,0.86,59,ventral rear numbers / close,535,537,created,map-image-link-added-primary-unchanged,family-member-near_duplicate
